Ligand,Target,Binding Energy,Unbound Energy,Date Created,Info
ZINC00004046_1785,promutation,-6.19,-0.28,2019.04.26 15:25:48,Autodock 4.2
ZINC00025159_1786,promutation,-6.08,-0.65,2019.04.26 15:26:01,Autodock 4.2
ZINC00044851_535,promutation,-7.95,-0.56,2019.04.26 15:33:22,Autodock 4.2
ZINC00044853_523,promutation,-7.75,1.16,2019.04.26 15:33:29,Autodock 4.2
ZINC00051923_1171,promutation,-7.59,-0.14,2019.04.26 15:33:33,Autodock 4.2
ZINC00051924_1161,promutation,-7.78,-0.17,2019.04.26 15:33:37,Autodock 4.2
ZINC00066023_1869,promutation,-6.71,-0.06,2019.04.26 15:33:41,Autodock 4.2
ZINC00134601_1542,promutation,-5.66,-0.28,2019.04.26 15:33:46,Autodock 4.2
ZINC00135449_2658,promutation,-8.19,-0.03,2019.04.26 15:33:52,Autodock 4.2
ZINC00135453_2654,promutation,-8.37,-0.04,2019.04.26 15:34:01,Autodock 4.2
ZINC00149577_457,promutation,-6.5,-0.16,2019.04.26 15:34:05,Autodock 4.2
ZINC00155371_490,promutation,-6.17,-0.19,2019.04.26 15:34:10,Autodock 4.2
ZINC00155456_723,promutation,-5.39,-0.2,2019.04.26 15:34:27,Autodock 4.2
ZINC00166877_1089,promutation,-6.03,-0.26,2019.04.26 15:34:33,Autodock 4.2
ZINC00391156_1434,promutation,-5.7,-0.3,2019.04.26 15:34:37,Autodock 4.2
ZINC00391191_1305,promutation,-5.66,-0.23,2019.04.26 15:34:41,Autodock 4.2
ZINC00391192_1264,promutation,-6.26,0.0,2019.04.26 15:34:46,Autodock 4.2
ZINC00391550_895,promutation,-6.23,-0.17,2019.04.26 15:34:59,Autodock 4.2
ZINC00394923_2911,promutation,-5.72,-0.07,2019.04.26 15:35:05,Autodock 4.2
ZINC00639791_1811,promutation,-8.08,1.4,2019.04.26 15:35:09,Autodock 4.2
ZINC00896129_2774,promutation,-6.51,-0.19,2019.04.26 15:35:15,Autodock 4.2
ZINC00897714_1843,promutation,-6.62,-0.45,2019.04.26 15:35:30,Autodock 4.2
ZINC00898785_1778,promutation,-6.93,-0.22,2019.04.26 15:35:35,Autodock 4.2
ZINC00899122_876,promutation,-6.75,-0.44,2019.04.26 15:35:44,Autodock 4.2
ZINC00899123_2636,promutation,-6.48,-0.29,2019.04.26 15:35:48,Autodock 4.2
ZINC00899824_2683,promutation,-6.79,-0.55,2019.04.26 15:35:53,Autodock 4.2
ZINC00899863_1105,promutation,-6.64,0.13,2019.04.26 15:35:57,Autodock 4.2
ZINC00968029_2447,promutation,-5.66,-0.04,2019.04.26 15:36:38,Autodock 4.2
ZINC00968030_2624,promutation,-6.11,-0.08,2019.04.26 15:36:42,Autodock 4.2
ZINC01081533_1731,promutation,-7.14,-0.63,2019.04.26 15:36:46,Autodock 4.2
ZINC01529432_659,promutation,-6.35,0.0,2019.04.26 15:36:50,Autodock 4.2
ZINC01529484_649,promutation,-5.68,-0.08,2019.04.26 15:36:55,Autodock 4.2
ZINC01529489_645,promutation,-4.62,0.18,2019.04.26 15:36:59,Autodock 4.2
ZINC01529491_641,promutation,-6.3,-0.31,2019.04.26 15:37:03,Autodock 4.2
ZINC01531914_2004,promutation,-7.39,-0.73,2019.04.26 15:37:07,Autodock 4.2
ZINC01594055_1477,promutation,-6.22,-0.94,2019.04.26 15:37:12,Autodock 4.2
ZINC01615343_2087,promutation,-7.22,-1.09,2019.04.26 15:37:16,Autodock 4.2
ZINC01618130_1195,promutation,-7.31,-0.12,2019.04.26 15:37:21,Autodock 4.2
ZINC01626260_2195,promutation,-8.04,-1.66,2019.04.26 15:37:26,Autodock 4.2
ZINC01651126_2689,promutation,-8.01,-0.51,2019.04.26 15:37:30,Autodock 4.2
ZINC01677786_2252,promutation,-5.51,-0.36,2019.04.26 15:37:34,Autodock 4.2
ZINC01666831_1790,promutation,-6.45,-0.47,2019.04.26 15:37:38,Autodock 4.2
ZINC01677791_2259,promutation,-6.41,-0.35,2019.04.26 15:37:44,Autodock 4.2
ZINC01686158_2807,promutation,-7.53,-0.28,2019.04.26 15:37:49,Autodock 4.2
ZINC01694404_2589,promutation,-4.79,-0.33,2019.04.26 15:38:06,Autodock 4.2
ZINC01850636_1086,promutation,-6.54,-0.4,2019.04.26 15:38:11,Autodock 4.2
ZINC01850898_880,promutation,-5.2,-0.21,2019.04.26 15:38:20,Autodock 4.2
ZINC02010892_491,promutation,-5.2,0.27,2019.04.26 15:38:28,Autodock 4.2
ZINC02014252_1931,promutation,-5.03,-0.25,2019.04.26 15:38:33,Autodock 4.2
ZINC02037558_1272,promutation,-6.02,-0.3,2019.04.26 15:38:38,Autodock 4.2
ZINC02039760_914,promutation,-5.8,-1.16,2019.04.26 15:38:42,Autodock 4.2
ZINC02039761_911,promutation,-4.64,-0.34,2019.04.26 15:38:47,Autodock 4.2
ZINC02040462_1512,promutation,-7.56,-0.68,2019.04.26 15:38:55,Autodock 4.2
ZINC02040466_2136,promutation,-6.16,-0.06,2019.04.26 15:39:05,Autodock 4.2
ZINC02077814_2129,promutation,-6.01,-0.61,2019.04.26 15:39:12,Autodock 4.2
ZINC02386261_922,promutation,-6.52,-0.16,2019.04.26 15:39:16,Autodock 4.2
ZINC02392265_1525,promutation,-5.71,-1.42,2019.04.26 15:39:23,Autodock 4.2
ZINC02557133_1835,promutation,-5.5,-0.22,2019.04.26 15:39:28,Autodock 4.2
ZINC02566056_1427,promutation,-7.31,-0.26,2019.04.26 15:39:36,Autodock 4.2
ZINC02566193_968,promutation,-7.14,-0.74,2019.04.26 15:39:41,Autodock 4.2
ZINC03136353_849,promutation,-7.87,-0.51,2019.04.26 15:39:46,Autodock 4.2
ZINC03644324_520,promutation,-7.71,-0.73,2019.04.26 15:39:51,Autodock 4.2
ZINC03644994_501,promutation,-7.54,-0.72,2019.04.26 15:39:55,Autodock 4.2
