Ligand,Target,Binding Energy,Unbound Energy,Date Created,Info
ZINC00039091_6917,promutation,-7.57,-0.35,2019.04.22 23:28:33,Autodock 4.2
ZINC00039092_6915,promutation,-7.5,-0.61,2019.04.22 23:28:38,Autodock 4.2
ZINC00039098_6907,promutation,-6.58,0.03,2019.04.22 23:28:50,Autodock 4.2
ZINC00039099_6902,promutation,-7.11,-0.46,2019.04.22 23:28:54,Autodock 4.2
ZINC00039119_6883,promutation,-6.91,-0.3,2019.04.22 23:28:58,Autodock 4.2
ZINC00039310_6825,promutation,-6.92,-0.36,2019.04.22 23:29:04,Autodock 4.2
ZINC00047553_6351,promutation,-6.53,-0.14,2019.04.22 23:29:08,Autodock 4.2
ZINC00050703_5199,promutation,-6.71,-0.81,2019.04.22 23:29:14,Autodock 4.2
ZINC00050704_5195,promutation,-6.47,-0.55,2019.04.22 23:29:20,Autodock 4.2
ZINC00056545_5722,promutation,-7.23,0.2,2019.04.22 23:29:25,Autodock 4.2
ZINC00056555_5714,promutation,-6.03,-0.79,2019.04.22 23:29:30,Autodock 4.2
ZINC00056654_5689,promutation,-6.83,-0.2,2019.04.22 23:29:36,Autodock 4.2
ZINC00056981_5658,promutation,-7.07,-1.38,2019.04.22 23:29:43,Autodock 4.2
ZINC00057361_5907,promutation,-7.41,-0.09,2019.04.22 23:29:49,Autodock 4.2
ZINC00057658_5521,promutation,-7.46,-0.18,2019.04.22 23:29:54,Autodock 4.2
ZINC00057674_5502,promutation,-6.78,-0.25,2019.04.22 23:30:00,Autodock 4.2
ZINC00057675_5499,promutation,-7.42,-0.2,2019.04.22 23:30:05,Autodock 4.2
ZINC00057677_5495,promutation,-7.42,-0.21,2019.04.22 23:30:12,Autodock 4.2
ZINC00057681_5491,promutation,-8.43,-0.28,2019.04.22 23:30:18,Autodock 4.2
ZINC00057682_5489,promutation,-7.44,-0.39,2019.04.22 23:30:23,Autodock 4.2
ZINC00057689_5484,promutation,-7.3,-0.28,2019.04.22 23:30:29,Autodock 4.2
ZINC00057731_5472,promutation,-6.89,0.02,2019.04.22 23:30:35,Autodock 4.2
ZINC00057733_5470,promutation,-6.84,-0.41,2019.04.22 23:30:40,Autodock 4.2
ZINC00057751_5466,promutation,-7.82,-0.3,2019.04.22 23:30:46,Autodock 4.2
ZINC00057912_5446,promutation,-7.74,-0.07,2019.04.22 23:30:59,Autodock 4.2
ZINC00057922_5442,promutation,-7.09,-0.23,2019.04.22 23:31:05,Autodock 4.2
ZINC00057923_5439,promutation,-7.15,-0.24,2019.04.22 23:31:12,Autodock 4.2
ZINC00057954_5433,promutation,-7.89,-0.33,2019.04.22 23:31:18,Autodock 4.2
ZINC00057955_5430,promutation,-7.99,-0.33,2019.04.22 23:31:30,Autodock 4.2
ZINC00057966_5426,promutation,-7.58,-0.3,2019.04.22 23:31:35,Autodock 4.2
ZINC00058111_5411,promutation,-6.61,0.03,2019.04.22 23:31:44,Autodock 4.2
ZINC00058119_5404,promutation,-7.09,-0.45,2019.04.22 23:31:49,Autodock 4.2
ZINC00057967_5423,promutation,-7.09,-0.31,2019.04.22 23:31:55,Autodock 4.2
ZINC00058121_5402,promutation,-6.75,0.03,2019.04.22 23:32:23,Autodock 4.2
ZINC00073032_5524,promutation,-6.74,-0.42,2019.04.22 23:32:28,Autodock 4.2
ZINC00073693_5225,promutation,-7.59,-0.25,2019.04.22 23:32:36,Autodock 4.2
ZINC00152561_7002,promutation,-6.37,-0.46,2019.04.22 23:32:41,Autodock 4.2
ZINC00153660_5238,promutation,-5.78,-0.63,2019.04.22 23:32:47,Autodock 4.2
ZINC00156055_6498,promutation,-6.66,-0.35,2019.04.22 23:32:52,Autodock 4.2
ZINC00199444_4798,promutation,-6.48,0.44,2019.04.22 23:32:57,Autodock 4.2
ZINC00199449_4791,promutation,-6.23,-0.22,2019.04.22 23:33:02,Autodock 4.2
ZINC00199453_4789,promutation,-6.71,-0.4,2019.04.22 23:33:08,Autodock 4.2
