Ligand,Target,Binding Energy,Unbound Energy,Date Created,Info
ZINC00056558_15473,promutation,-7.03,-0.17,2019.04.29 16:17:44,Autodock 4.2
ZINC00056559_15453,promutation,-6.79,-0.17,2019.04.29 16:17:48,Autodock 4.2
ZINC00056673_14420,promutation,-6.71,0.58,2019.04.29 16:17:51,Autodock 4.2
ZINC00056753_14108,promutation,-6.19,-0.51,2019.04.29 16:17:55,Autodock 4.2
ZINC00083421_14678,promutation,-8.42,0.0,2019.04.29 16:17:58,Autodock 4.2
ZINC00083562_14501,promutation,-8.36,-0.35,2019.04.29 16:18:01,Autodock 4.2
ZINC00090206_14649,promutation,-7.3,-0.01,2019.04.29 16:18:04,Autodock 4.2
ZINC00124113_15465,promutation,-7.59,0.08,2019.04.29 16:18:10,Autodock 4.2
ZINC00138884_14316,promutation,-7.06,-0.73,2019.04.29 16:18:22,Autodock 4.2
ZINC00175203_14229,promutation,-6.92,-0.11,2019.04.29 16:18:26,Autodock 4.2
ZINC00175641_15126,promutation,-6.95,-0.07,2019.04.29 16:18:32,Autodock 4.2
ZINC00189260_14860,promutation,-6.86,-0.56,2019.04.29 16:18:35,Autodock 4.2
ZINC00189264_14870,promutation,-7.15,-0.81,2019.04.29 16:18:39,Autodock 4.2
ZINC00189961_14506,promutation,-7.8,-0.16,2019.04.29 16:18:43,Autodock 4.2
ZINC00238692_14398,promutation,-5.78,-1.54,2019.04.29 16:18:47,Autodock 4.2
ZINC00238693_14408,promutation,-5.79,-1.11,2019.04.29 16:18:51,Autodock 4.2
ZINC00238695_14416,promutation,-5.64,-0.39,2019.04.29 16:18:58,Autodock 4.2
ZINC00242170_14186,promutation,-6.91,-0.29,2019.04.29 16:20:16,Autodock 4.2
ZINC00280980_14958,promutation,-7.07,-0.54,2019.04.29 16:20:20,Autodock 4.2
ZINC00280982_14951,promutation,-7.52,-0.58,2019.04.29 16:20:23,Autodock 4.2
ZINC00283835_14149,promutation,-7.02,-0.77,2019.04.29 16:20:27,Autodock 4.2
ZINC00286595_15153,promutation,-6.54,2.02,2019.04.29 16:20:30,Autodock 4.2
ZINC00286598_15159,promutation,-6.52,2.0,2019.04.29 16:20:33,Autodock 4.2
ZINC00312982_14654,promutation,-7.3,-0.56,2019.04.29 16:20:37,Autodock 4.2
ZINC00312983_14674,promutation,-7.76,-0.42,2019.04.29 16:20:45,Autodock 4.2
ZINC00347972_14254,promutation,-5.06,0.05,2019.04.29 16:20:50,Autodock 4.2
ZINC00403694_14120,promutation,-8.71,-0.32,2019.04.29 16:20:54,Autodock 4.2
ZINC00406376_15390,promutation,-6.92,-0.44,2019.04.29 16:20:58,Autodock 4.2
ZINC00406960_14134,promutation,-5.54,-0.19,2019.04.29 16:21:01,Autodock 4.2
ZINC00407254_15385,promutation,-7.07,-0.11,2019.04.29 16:21:05,Autodock 4.2
ZINC00466382_15131,promutation,-7.9,-0.32,2019.04.29 16:21:09,Autodock 4.2
ZINC00486221_14824,promutation,-8.69,-0.48,2019.04.29 16:21:13,Autodock 4.2
ZINC00486299_15394,promutation,-7.71,-0.3,2019.04.29 16:21:17,Autodock 4.2
ZINC00486300_15436,promutation,-7.58,-0.28,2019.04.29 16:21:21,Autodock 4.2
ZINC00487037_14808,promutation,-7.46,-0.54,2019.04.29 16:21:26,Autodock 4.2
ZINC00487038_14780,promutation,-8.1,-0.47,2019.04.29 16:21:30,Autodock 4.2
ZINC00487708_14270,promutation,-5.98,-0.7,2019.04.29 16:21:34,Autodock 4.2
ZINC00489308_15489,promutation,-7.23,-0.39,2019.04.29 16:21:38,Autodock 4.2
ZINC00489376_14423,promutation,-6.95,-0.46,2019.04.29 16:21:42,Autodock 4.2
ZINC00490059_15490,promutation,-8.25,-0.36,2019.04.29 16:21:47,Autodock 4.2
ZINC00490060_15467,promutation,-7.99,0.2,2019.04.29 16:21:52,Autodock 4.2
ZINC00490061_15449,promutation,-7.91,0.01,2019.04.29 16:21:56,Autodock 4.2
ZINC00506563_15411,promutation,-5.59,-0.16,2019.04.29 16:22:00,Autodock 4.2
ZINC00506564_15469,promutation,-5.51,-0.15,2019.04.29 16:22:04,Autodock 4.2
ZINC00518490_14365,promutation,-6.71,-0.09,2019.04.29 16:22:08,Autodock 4.2
ZINC00518525_15003,promutation,-5.79,-0.08,2019.04.29 16:22:12,Autodock 4.2
ZINC00518529_15176,promutation,-6.75,-0.43,2019.04.29 16:22:20,Autodock 4.2
ZINC00525831_14887,promutation,-8.75,-0.36,2019.04.29 16:22:27,Autodock 4.2
ZINC00526112_15451,promutation,-8.13,-0.17,2019.04.29 16:22:31,Autodock 4.2
ZINC00526252_14599,promutation,-8.36,-0.2,2019.04.29 16:22:36,Autodock 4.2
ZINC00626906_14743,promutation,-7.56,-0.77,2019.04.29 16:22:40,Autodock 4.2
ZINC00865033_14461,promutation,-7.36,-0.36,2019.04.29 16:22:44,Autodock 4.2
ZINC00895911_14164,promutation,-6.73,0.06,2019.04.29 16:22:47,Autodock 4.2
ZINC00941308_15484,promutation,-7.14,-0.35,2019.04.29 16:22:52,Autodock 4.2
ZINC01037998_15320,promutation,-6.79,-0.4,2019.04.29 16:22:56,Autodock 4.2
ZINC01129340_14542,promutation,-7.78,-0.78,2019.04.29 16:23:08,Autodock 4.2
ZINC01323364_14221,promutation,-6.39,0.46,2019.04.29 16:23:13,Autodock 4.2
ZINC01531046_14619,promutation,-4.91,0.27,2019.04.29 16:23:18,Autodock 4.2
ZINC01531601_14559,promutation,-4.97,-0.1,2019.04.29 16:23:36,Autodock 4.2
ZINC01532132_14091,promutation,-6.36,-1.44,2019.04.29 16:23:40,Autodock 4.2
ZINC01595469_15283,promutation,-5.98,-0.57,2019.04.29 16:23:43,Autodock 4.2
ZINC01646906_14793,promutation,-6.39,-0.17,2019.04.29 16:23:47,Autodock 4.2
ZINC01748637_14874,promutation,-8.15,-0.15,2019.04.29 16:23:53,Autodock 4.2
ZINC01828812_14227,promutation,-6.46,-0.02,2019.04.29 16:23:57,Autodock 4.2
ZINC01837404_15073,promutation,-6.46,0.02,2019.04.29 16:24:16,Autodock 4.2
ZINC01837407_15056,promutation,-6.88,-0.78,2019.04.29 16:24:19,Autodock 4.2
ZINC02026515_15134,promutation,-5.65,-0.48,2019.04.29 16:24:23,Autodock 4.2
ZINC02040426_15162,promutation,-6.11,0.0,2019.04.29 16:24:27,Autodock 4.2
ZINC02040427_15169,promutation,-6.06,0.17,2019.04.29 16:24:31,Autodock 4.2
ZINC02083416_14979,promutation,-6.46,-0.62,2019.04.29 16:24:34,Autodock 4.2
ZINC02087287_15181,promutation,-5.65,-0.74,2019.04.29 16:24:41,Autodock 4.2
