Ligand,Target,Binding Energy,Unbound Energy,Date Created,Info
ZINC00036639_552,promutation,-7.77,-0.26,2019.04.27 14:21:39,Autodock 4.2
ZINC00052137_997,promutation,-8.08,-0.57,2019.04.27 14:21:49,Autodock 4.2
ZINC00052138_974,promutation,-7.69,-0.38,2019.04.27 14:21:58,Autodock 4.2
ZINC00070275_271,promutation,-7.64,0.0,2019.04.27 14:22:04,Autodock 4.2
ZINC00105151_211,promutation,-5.85,1.31,2019.04.27 14:22:10,Autodock 4.2
ZINC00105155_218,promutation,-5.11,1.07,2019.04.27 14:22:18,Autodock 4.2
ZINC00110779_522,promutation,-6.37,-0.54,2019.04.27 14:22:23,Autodock 4.2
ZINC00134426_709,promutation,-6.83,-0.5,2019.04.27 14:22:30,Autodock 4.2
ZINC00134430_722,promutation,-6.86,-0.5,2019.04.27 14:22:34,Autodock 4.2
ZINC00145536_343,promutation,-6.74,-0.25,2019.04.27 14:22:38,Autodock 4.2
ZINC00198216_1134,promutation,-7.49,0.0,2019.04.27 14:22:43,Autodock 4.2
ZINC00265455_542,promutation,-5.66,-0.26,2019.04.27 14:22:54,Autodock 4.2
ZINC00287295_460,promutation,-7.18,0.06,2019.04.27 14:22:59,Autodock 4.2
ZINC00366952_800,promutation,-6.12,-0.38,2019.04.27 14:23:08,Autodock 4.2
ZINC00407135_966,promutation,-7.8,-0.35,2019.04.27 14:23:15,Autodock 4.2
ZINC00436637_1167,promutation,-6.08,-0.46,2019.04.27 14:23:22,Autodock 4.2
ZINC00433632_664,promutation,-8.85,-0.21,2019.04.27 14:23:27,Autodock 4.2
ZINC00487070_1262,promutation,-5.98,-0.6,2019.04.27 14:23:31,Autodock 4.2
ZINC00487478_598,promutation,-6.37,-0.44,2019.04.27 14:23:37,Autodock 4.2
ZINC00487619_1066,promutation,-6.8,-0.08,2019.04.27 14:23:42,Autodock 4.2
ZINC00487620_1031,promutation,-6.65,-0.21,2019.04.27 14:23:47,Autodock 4.2
ZINC00489054_136,promutation,-7.47,-0.14,2019.04.27 14:23:52,Autodock 4.2
ZINC00489069_1060,promutation,-8.3,0.0,2019.04.27 14:23:58,Autodock 4.2
ZINC00491313_63,promutation,-7.69,0.18,2019.04.27 14:24:02,Autodock 4.2
ZINC00491314_75,promutation,-7.06,0.22,2019.04.27 14:24:08,Autodock 4.2
ZINC00491315_34,promutation,-7.71,0.38,2019.04.27 14:26:57,Autodock 4.2
ZINC00491316_52,promutation,-7.56,0.2,2019.04.27 14:27:12,Autodock 4.2
ZINC00491317_203,promutation,-6.17,-0.5,2019.04.27 14:27:42,Autodock 4.2
ZINC00517983_8,promutation,-7.43,-0.16,2019.04.27 14:28:01,Autodock 4.2
