Ligand,Target,Binding Energy,Unbound Energy,Date Created,Info
ZINC00056558_15473,promutation,-7.26,-0.06,2019.04.29 15:50:27,Autodock 4.2
ZINC00056559_15453,promutation,-6.89,-0.17,2019.04.29 15:50:36,Autodock 4.2
ZINC00056673_14420,promutation,-7.21,-0.22,2019.04.29 15:50:39,Autodock 4.2
ZINC00056753_14108,promutation,-6.38,-0.48,2019.04.29 15:50:42,Autodock 4.2
ZINC00083421_14678,promutation,-8.51,0.0,2019.04.29 15:50:46,Autodock 4.2
ZINC00083562_14501,promutation,-7.37,-0.33,2019.04.29 15:50:51,Autodock 4.2
ZINC00090206_14649,promutation,-7.35,0.14,2019.04.29 15:50:54,Autodock 4.2
ZINC00106339_14039,promutation,-7.07,-0.03,2019.04.29 15:50:58,Autodock 4.2
ZINC00124113_15465,promutation,-7.76,-0.33,2019.04.29 15:51:01,Autodock 4.2
ZINC00138884_14316,promutation,-7.22,-0.62,2019.04.29 15:51:07,Autodock 4.2
ZINC00175203_14229,promutation,-7.02,-0.17,2019.04.29 15:51:18,Autodock 4.2
ZINC00175641_15126,promutation,-6.96,-0.32,2019.04.29 15:51:23,Autodock 4.2
ZINC00189260_14860,promutation,-7.14,-1.47,2019.04.29 15:51:27,Autodock 4.2
ZINC00189264_14870,promutation,-7.02,-0.31,2019.04.29 15:51:31,Autodock 4.2
ZINC00189961_14506,promutation,-8.41,-0.43,2019.04.29 15:51:36,Autodock 4.2
ZINC00238692_14398,promutation,-5.63,-0.69,2019.04.29 15:51:39,Autodock 4.2
ZINC00238693_14408,promutation,-6.73,-0.36,2019.04.29 15:51:43,Autodock 4.2
ZINC00238695_14416,promutation,-5.82,-1.06,2019.04.29 15:51:47,Autodock 4.2
ZINC00242165_14003,promutation,-7.12,-0.95,2019.04.29 15:51:52,Autodock 4.2
ZINC00242170_14186,promutation,-7.68,-0.42,2019.04.29 15:52:05,Autodock 4.2
ZINC00280980_14958,promutation,-7.82,-0.53,2019.04.29 15:52:10,Autodock 4.2
ZINC00280982_14951,promutation,-7.48,-0.54,2019.04.29 15:52:14,Autodock 4.2
ZINC00283835_14149,promutation,-7.32,-0.28,2019.04.29 15:52:18,Autodock 4.2
ZINC00286595_15153,promutation,-6.53,1.99,2019.04.29 15:52:22,Autodock 4.2
ZINC00286598_15159,promutation,-6.51,2.0,2019.04.29 15:52:26,Autodock 4.2
ZINC00312982_14654,promutation,-7.29,-0.32,2019.04.29 15:52:31,Autodock 4.2
ZINC00312983_14674,promutation,-7.57,-0.54,2019.04.29 15:52:35,Autodock 4.2
ZINC00347972_14254,promutation,-5.06,-0.02,2019.04.29 15:52:39,Autodock 4.2
ZINC00403694_14120,promutation,-9.09,-0.33,2019.04.29 15:52:44,Autodock 4.2
ZINC00405953_14075,promutation,-7.52,1.34,2019.04.29 15:52:48,Autodock 4.2
