Ligand,Target,Binding Energy,Unbound Energy,Date Created,Info
ZINC00967523_66,promutation,-6.42,-0.18,2019.04.24 13:24:04,Autodock 4.2
ZINC00967566_69,promutation,-5.6,0.0,2019.04.24 13:24:09,Autodock 4.2
ZINC00967595_70,promutation,-5.78,-0.13,2019.04.24 13:24:14,Autodock 4.2
ZINC00967796_82,promutation,-6.69,-0.18,2019.04.24 13:24:18,Autodock 4.2
ZINC00967799_83,promutation,-5.88,-0.13,2019.04.24 13:24:23,Autodock 4.2
ZINC00968029_2447,promutation,-4.76,-0.05,2019.04.24 13:25:04,Autodock 4.2
ZINC00968030_2624,promutation,-5.22,-0.09,2019.04.24 13:25:08,Autodock 4.2
ZINC00968037_86,promutation,-6.23,-0.2,2019.04.24 13:25:15,Autodock 4.2
ZINC00968102_169,promutation,-6.28,-0.13,2019.04.24 13:25:26,Autodock 4.2
ZINC01081533_1731,promutation,182.11,-0.61,2019.04.24 13:25:32,Autodock 4.2
ZINC01529208_161,promutation,-5.6,-0.25,2019.04.24 13:25:37,Autodock 4.2
ZINC01529210_160,promutation,-4.68,-0.21,2019.04.24 13:25:42,Autodock 4.2
ZINC01529234_162,promutation,-5.32,-0.19,2019.04.24 13:25:46,Autodock 4.2
ZINC01529432_659,promutation,-3.19,-0.06,2019.04.24 13:25:51,Autodock 4.2
ZINC01529484_649,promutation,-3.76,-0.07,2019.04.24 13:25:55,Autodock 4.2
ZINC01529489_645,promutation,-3.4,0.02,2019.04.24 13:25:59,Autodock 4.2
ZINC01529491_641,promutation,-4.49,-0.17,2019.04.24 13:26:03,Autodock 4.2
ZINC01529772_151,promutation,-7.96,-0.42,2019.04.24 13:26:08,Autodock 4.2
ZINC01529819_148,promutation,-5.08,-0.19,2019.04.24 13:26:12,Autodock 4.2
ZINC01529820_147,promutation,-5.09,-0.19,2019.04.24 13:26:16,Autodock 4.2
ZINC01530575_144,promutation,-5.56,-0.32,2019.04.24 13:26:20,Autodock 4.2
ZINC01530846_576,promutation,-5.34,-0.16,2019.04.24 13:26:25,Autodock 4.2
ZINC01531699_135,promutation,-6.4,-0.95,2019.04.24 13:26:29,Autodock 4.2
ZINC01531865_132,promutation,-6.11,-0.75,2019.04.24 13:26:34,Autodock 4.2
ZINC01531914_2004,promutation,341.21,5.09,2019.04.24 13:26:40,Autodock 4.2
ZINC01532729_449,promutation,-6.2,-0.25,2019.04.24 13:26:43,Autodock 4.2
ZINC01544807_404,promutation,-6.33,-0.24,2019.04.24 13:26:48,Autodock 4.2
ZINC01547195_59,promutation,-6.3,-0.23,2019.04.24 13:27:04,Autodock 4.2
ZINC01590366_30,promutation,-6.59,-0.55,2019.04.24 13:27:32,Autodock 4.2
ZINC01594055_1477,promutation,306.9,67.0,2019.04.24 13:27:37,Autodock 4.2
ZINC01599730_397,promutation,-7.96,0.0,2019.04.24 13:27:41,Autodock 4.2
ZINC01609645_97,promutation,-6.71,0.0,2019.04.24 13:27:55,Autodock 4.2
ZINC01614204_672,promutation,-6.68,-0.39,2019.04.24 13:28:11,Autodock 4.2
ZINC01615343_541,promutation,-7.02,-0.42,2019.04.24 13:28:15,Autodock 4.2
ZINC01615343_2087,promutation,299.94,-0.98,2019.04.24 13:28:22,Autodock 4.2
ZINC01615344_400,promutation,-6.11,-0.7,2019.04.24 13:28:30,Autodock 4.2
ZINC01615345_540,promutation,-7.29,-0.68,2019.04.24 13:28:34,Autodock 4.2
ZINC01618130_1195,promutation,57.41,-0.23,2019.04.24 13:28:39,Autodock 4.2
ZINC01626260_2195,promutation,252.53,-0.46,2019.04.24 13:28:44,Autodock 4.2
ZINC01651126_2689,promutation,195.26,-0.5,2019.04.24 13:28:49,Autodock 4.2
ZINC01662779_799,promutation,-7.32,-0.3,2019.04.24 13:28:53,Autodock 4.2
ZINC01664037_798,promutation,-6.9,-0.02,2019.04.24 13:28:57,Autodock 4.2
ZINC01666831_1790,promutation,-2.37,-0.27,2019.04.24 13:29:03,Autodock 4.2
ZINC01673578_602,promutation,-5.66,0.09,2019.04.24 13:29:10,Autodock 4.2
ZINC01677786_2252,promutation,-4.04,-0.32,2019.04.24 13:29:19,Autodock 4.2
ZINC01677791_2259,promutation,-5.33,-0.06,2019.04.24 13:29:25,Autodock 4.2
ZINC01686158_2807,promutation,-6.06,-0.27,2019.04.24 13:29:29,Autodock 4.2
ZINC01694404_2589,promutation,-3.72,-0.09,2019.04.24 13:29:37,Autodock 4.2
ZINC01850636_1086,promutation,-4.73,-0.32,2019.04.24 13:29:44,Autodock 4.2
ZINC01850826_99,promutation,-6.36,-0.14,2019.04.24 13:29:49,Autodock 4.2
ZINC01850898_880,promutation,-4.64,-0.22,2019.04.24 13:30:00,Autodock 4.2
ZINC02010892_491,promutation,-4.2,-0.21,2019.04.24 13:30:04,Autodock 4.2
ZINC02014252_535,promutation,-5.12,-0.11,2019.04.24 13:30:09,Autodock 4.2
ZINC02014252_1931,promutation,-4.26,-0.26,2019.04.24 13:30:13,Autodock 4.2
ZINC02036574_558,promutation,-6.5,-0.19,2019.04.24 13:30:18,Autodock 4.2
ZINC02037558_1272,promutation,1.65,6.65,2019.04.24 13:30:24,Autodock 4.2
ZINC02039760_914,promutation,-1.17,-1.23,2019.04.24 13:30:28,Autodock 4.2
ZINC02039761_911,promutation,27.91,0.13,2019.04.24 13:30:31,Autodock 4.2
ZINC02040462_1512,promutation,129.48,-0.04,2019.04.24 13:30:36,Autodock 4.2
ZINC02040466_2136,promutation,-5.78,-0.14,2019.04.24 13:30:42,Autodock 4.2
ZINC02077814_2129,promutation,-2.82,0.62,2019.04.24 13:30:46,Autodock 4.2
ZINC02386261_514,promutation,-6.32,-0.16,2019.04.24 13:30:55,Autodock 4.2
ZINC02386261_922,promutation,-5.87,-0.14,2019.04.24 13:30:59,Autodock 4.2
ZINC02392265_1525,promutation,180.99,-0.14,2019.04.24 13:31:19,Autodock 4.2
ZINC02507556_319,promutation,-6.16,-0.74,2019.04.24 13:31:25,Autodock 4.2
ZINC02557133_1835,promutation,-4.33,-0.12,2019.04.24 13:31:32,Autodock 4.2
ZINC02566056_1427,promutation,-2.47,-0.89,2019.04.24 13:31:37,Autodock 4.2
ZINC02566193_968,promutation,302.07,3.71,2019.04.24 13:31:59,Autodock 4.2
ZINC03136353_849,promutation,61.1,-0.31,2019.04.24 13:32:07,Autodock 4.2
ZINC03644324_520,promutation,301.49,4.72,2019.04.24 13:32:12,Autodock 4.2
ZINC03644994_501,promutation,128.43,-0.05,2019.04.24 13:32:18,Autodock 4.2
ZINC03860577_380,promutation,-6.39,-0.17,2019.04.24 13:32:23,Autodock 4.2
ZINC03869608_159,promutation,-7.16,0.14,2019.04.24 13:32:30,Autodock 4.2
ZINC03869768_21,promutation,-6.79,-0.97,2019.04.24 13:32:36,Autodock 4.2
ZINC03869768_398,promutation,-7.28,-0.22,2019.04.24 13:32:40,Autodock 4.2
ZINC03871358_401,promutation,-7.36,-0.25,2019.04.24 13:32:45,Autodock 4.2
ZINC03871576_5,promutation,-6.94,-0.9,2019.04.24 13:32:57,Autodock 4.2
ZINC03871576_534,promutation,-7.46,-0.18,2019.04.24 13:33:02,Autodock 4.2
ZINC03871576_759,promutation,-6.83,-0.9,2019.04.24 13:33:07,Autodock 4.2
ZINC03872070_24,promutation,-7.22,-0.82,2019.04.24 13:33:11,Autodock 4.2
ZINC03872070_691,promutation,-7.53,-0.22,2019.04.24 13:33:18,Autodock 4.2
ZINC03872809_613,promutation,-5.73,-0.17,2019.04.24 13:34:59,Autodock 4.2
ZINC03875521_797,promutation,20.58,3.36,2019.04.24 13:35:04,Autodock 4.2
ZINC03951273_1669,promutation,-3.87,-0.19,2019.04.24 13:35:08,Autodock 4.2
ZINC04025583_962,promutation,12.1,1.28,2019.04.24 13:35:14,Autodock 4.2
ZINC04097409_75,promutation,-4.87,-0.17,2019.04.24 13:35:19,Autodock 4.2
ZINC04098279_1513,promutation,8.15,2.38,2019.04.24 13:35:24,Autodock 4.2
ZINC04098404_1550,promutation,-4.49,0.0,2019.04.24 13:35:29,Autodock 4.2
ZINC04098632_2718,promutation,121.06,-0.93,2019.04.24 13:35:34,Autodock 4.2
ZINC04098855_2215,promutation,-4.85,-0.0,2019.04.24 13:35:39,Autodock 4.2
ZINC04166527_1200,promutation,0.44,-0.35,2019.04.24 13:35:44,Autodock 4.2
ZINC04262096_2607,promutation,-5.04,-0.14,2019.04.24 13:35:55,Autodock 4.2
ZINC04467398_44,promutation,-5.87,-0.21,2019.04.24 13:36:01,Autodock 4.2
ZINC04492895_184,promutation,-4.68,-0.06,2019.04.24 13:36:11,Autodock 4.2
ZINC04716487_610,promutation,-6.81,-0.29,2019.04.24 13:36:18,Autodock 4.2
ZINC05114531_636,promutation,183.81,14.56,2019.04.24 13:36:22,Autodock 4.2
ZINC05115722_93,promutation,-7.97,0.12,2019.04.24 13:36:26,Autodock 4.2
ZINC05132548_598,promutation,319.91,16.75,2019.04.24 13:36:31,Autodock 4.2
ZINC05193906_113,promutation,-4.8,-0.35,2019.04.24 13:36:35,Autodock 4.2
ZINC05193911_114,promutation,-4.86,-0.48,2019.04.24 13:36:40,Autodock 4.2
ZINC05273746_784,promutation,-4.15,-0.25,2019.04.24 13:36:44,Autodock 4.2
ZINC05273747_790,promutation,-3.13,-0.23,2019.04.24 13:36:49,Autodock 4.2
ZINC05358286_1001,promutation,-5.88,-0.21,2019.04.24 13:36:57,Autodock 4.2
ZINC05368587_2098,promutation,99.89,5.44,2019.04.24 13:38:26,Autodock 4.2
ZINC05457565_1289,promutation,-5.14,2.55,2019.04.24 13:38:31,Autodock 4.2
ZINC05457783_2354,promutation,-4.98,0.03,2019.04.24 13:38:36,Autodock 4.2
ZINC05458295_1010,promutation,60.81,2.05,2019.04.24 13:38:48,Autodock 4.2
ZINC05735585_1392,promutation,-4.88,-0.13,2019.04.24 13:38:54,Autodock 4.2
ZINC05758867_1617,promutation,-3.21,1.22,2019.04.24 13:38:58,Autodock 4.2
ZINC05762059_2584,promutation,279.92,-0.21,2019.04.24 13:39:04,Autodock 4.2
ZINC05822220_638,promutation,-6.89,-0.28,2019.04.24 13:39:11,Autodock 4.2
ZINC05842678_1930,promutation,6.46,-0.06,2019.04.24 13:39:16,Autodock 4.2
ZINC05842977_33,promutation,-7.53,0.06,2019.04.24 13:39:20,Autodock 4.2
ZINC05842977_347,promutation,-7.34,0.06,2019.04.24 13:39:25,Autodock 4.2
ZINC05945585_28,promutation,-7.68,-0.22,2019.04.24 13:39:29,Autodock 4.2
ZINC05945585_402,promutation,-7.73,-0.14,2019.04.24 13:40:36,Autodock 4.2
ZINC05957987_2670,promutation,-3.04,-0.08,2019.04.24 13:41:11,Autodock 4.2
ZINC05996059_595,promutation,208.16,2.3,2019.04.24 13:41:15,Autodock 4.2
ZINC05996060_604,promutation,151.41,22.35,2019.04.24 13:41:19,Autodock 4.2
ZINC05996061_608,promutation,242.27,0.62,2019.04.24 13:41:24,Autodock 4.2
ZINC05998554_2931,promutation,166.96,-0.58,2019.04.24 13:41:31,Autodock 4.2
ZINC05998556_523,promutation,-7.28,-1.16,2019.04.24 13:41:37,Autodock 4.2
ZINC05998556_1145,promutation,113.91,2.47,2019.04.24 13:41:54,Autodock 4.2
ZINC05998558_692,promutation,-7.96,-0.56,2019.04.24 13:41:59,Autodock 4.2
ZINC05998782_2606,promutation,128.65,-0.32,2019.04.24 13:42:07,Autodock 4.2
ZINC05998961_564,promutation,-7.02,-1.17,2019.04.24 13:42:13,Autodock 4.2
ZINC05998961_2958,promutation,197.7,3.35,2019.04.24 13:42:17,Autodock 4.2
ZINC05999083_780,promutation,-6.17,-1.02,2019.04.24 13:42:25,Autodock 4.2
ZINC05999205_24,promutation,-7.43,-0.37,2019.04.24 13:42:31,Autodock 4.2
ZINC05999205_413,promutation,-6.96,-0.29,2019.04.24 13:42:36,Autodock 4.2
ZINC06004394_455,promutation,-7.15,-0.67,2019.04.24 13:42:45,Autodock 4.2
ZINC06017965_2726,promutation,256.81,6.97,2019.04.24 13:42:51,Autodock 4.2
ZINC06018122_2812,promutation,153.05,-0.69,2019.04.24 13:42:55,Autodock 4.2
ZINC06018480_2695,promutation,4.25,-0.19,2019.04.24 13:43:30,Autodock 4.2
ZINC06018691_511,promutation,-6.71,-1.36,2019.04.24 13:43:35,Autodock 4.2
ZINC06018691_843,promutation,37.82,-0.66,2019.04.24 13:43:41,Autodock 4.2
ZINC06018929_2766,promutation,161.77,-1.05,2019.04.24 13:43:45,Autodock 4.2
ZINC06070486_2619,promutation,149.78,-1.24,2019.04.24 13:43:49,Autodock 4.2
ZINC06071066_751,promutation,-6.42,-0.48,2019.04.24 13:43:53,Autodock 4.2
ZINC06119185_1160,promutation,-2.42,0.01,2019.04.24 13:43:57,Autodock 4.2
ZINC06403375_792,promutation,205.92,2.21,2019.04.24 13:44:01,Autodock 4.2
ZINC06425689_1170,promutation,30.69,-0.06,2019.04.24 13:44:15,Autodock 4.2
ZINC06483511_1405,promutation,108.88,-0.84,2019.04.24 13:44:20,Autodock 4.2
ZINC06483517_2609,promutation,139.34,-0.3,2019.04.24 13:45:12,Autodock 4.2
ZINC06483757_2521,promutation,6.11,-0.11,2019.04.24 13:45:16,Autodock 4.2
ZINC06484540_2947,promutation,184.94,1.86,2019.04.24 13:45:20,Autodock 4.2
ZINC06484558_590,promutation,-6.9,-0.88,2019.04.24 13:45:39,Autodock 4.2
ZINC06520638_2457,promutation,7.09,-0.68,2019.04.24 13:45:44,Autodock 4.2
ZINC08829476_579,promutation,-6.8,-0.44,2019.04.24 13:45:48,Autodock 4.2
ZINC12349443_1808,promutation,-3.43,1.34,2019.04.24 13:45:52,Autodock 4.2
ZINC12359992_840,promutation,-2.77,0.67,2019.04.24 13:45:58,Autodock 4.2
ZINC12405001_614,promutation,-4.05,0.19,2019.04.24 13:46:02,Autodock 4.2
ZINC12410271_2474,promutation,-3.77,-0.12,2019.04.24 13:46:06,Autodock 4.2
ZINC12410287_2540,promutation,-4.6,0.02,2019.04.24 13:46:10,Autodock 4.2
ZINC13154309_1735,promutation,139.09,12.03,2019.04.24 13:46:15,Autodock 4.2
ZINC13306218_842,promutation,-3.47,-0.02,2019.04.24 13:46:20,Autodock 4.2
ZINC13306277_1098,promutation,-1.24,-0.1,2019.04.24 13:46:24,Autodock 4.2
ZINC13306523_2243,promutation,0.77,-0.29,2019.04.24 13:46:29,Autodock 4.2
ZINC13306633_2930,promutation,48.83,4.21,2019.04.24 13:46:36,Autodock 4.2
ZINC13309457_171,promutation,-5.34,0.32,2019.04.24 13:46:42,Autodock 4.2
ZINC13309459_172,promutation,-5.14,-0.32,2019.04.24 13:46:47,Autodock 4.2
ZINC13311216_1220,promutation,-3.72,0.72,2019.04.24 13:46:55,Autodock 4.2
