Ligand,Target,Binding Energy,Unbound Energy,Date Created,Info
ZINC00044208_19719,promutation,-8.33,-0.45,2019.04.29 19:12:36,Autodock 4.2
ZINC00047124_20650,promutation,-7.07,-0.55,2019.04.29 19:14:22,Autodock 4.2
ZINC00047125_20657,promutation,-6.87,-0.35,2019.04.29 19:14:25,Autodock 4.2
ZINC00047682_19619,promutation,-6.86,-0.29,2019.04.29 19:14:29,Autodock 4.2
ZINC00058068_19472,promutation,-7.12,-0.4,2019.04.29 19:14:33,Autodock 4.2
ZINC00064428_19920,promutation,-7.85,-0.2,2019.04.29 19:14:37,Autodock 4.2
ZINC00075063_19753,promutation,-7.16,-0.34,2019.04.29 19:14:40,Autodock 4.2
ZINC00076475_20294,promutation,-5.27,-0.14,2019.04.29 19:14:44,Autodock 4.2
ZINC00078845_20713,promutation,-5.99,-0.87,2019.04.29 19:14:47,Autodock 4.2
ZINC00107566_19903,promutation,-8.13,-0.05,2019.04.29 19:14:51,Autodock 4.2
ZINC00130101_19470,promutation,-6.68,0.1,2019.04.29 19:14:56,Autodock 4.2
ZINC00158705_20297,promutation,-9.29,-0.37,2019.04.29 19:15:01,Autodock 4.2
ZINC00158709_19315,promutation,-8.94,-0.4,2019.04.29 19:15:04,Autodock 4.2
ZINC00171678_19196,promutation,-7.23,-0.1,2019.04.29 19:15:09,Autodock 4.2
ZINC00171940_20222,promutation,-8.73,0.24,2019.04.29 19:15:17,Autodock 4.2
ZINC00185574_20016,promutation,-9.14,-0.54,2019.04.29 19:15:22,Autodock 4.2
ZINC00185580_20021,promutation,-7.87,-0.47,2019.04.29 19:15:27,Autodock 4.2
ZINC00191676_19386,promutation,-7.4,-0.55,2019.04.29 19:15:34,Autodock 4.2
ZINC00191678_19368,promutation,-7.52,-0.59,2019.04.29 19:15:41,Autodock 4.2
ZINC00207158_20702,promutation,-6.2,-0.87,2019.04.29 19:15:46,Autodock 4.2
ZINC00207161_20641,promutation,-6.93,-0.78,2019.04.29 19:15:51,Autodock 4.2
ZINC00209153_20271,promutation,-7.12,0.33,2019.04.29 19:15:56,Autodock 4.2
ZINC00209701_19605,promutation,-6.24,-0.33,2019.04.29 19:18:02,Autodock 4.2
ZINC00228983_19754,promutation,-6.96,-0.09,2019.04.29 19:18:08,Autodock 4.2
ZINC00228985_19746,promutation,-7.03,-0.15,2019.04.29 19:18:12,Autodock 4.2
ZINC00236873_19247,promutation,-7.33,-0.1,2019.04.29 19:18:18,Autodock 4.2
ZINC00241531_19914,promutation,-6.79,-0.38,2019.04.29 19:20:12,Autodock 4.2
ZINC00244438_19471,promutation,-6.88,-0.64,2019.04.29 19:20:16,Autodock 4.2
ZINC00246224_19768,promutation,-6.76,-0.01,2019.04.29 19:20:41,Autodock 4.2
ZINC00246226_19760,promutation,-6.99,-0.07,2019.04.29 19:20:50,Autodock 4.2
ZINC00246345_20284,promutation,-6.48,-0.29,2019.04.29 19:20:54,Autodock 4.2
ZINC00251213_19191,promutation,-6.55,0.22,2019.04.29 19:21:02,Autodock 4.2
ZINC00257352_19391,promutation,-7.89,-0.07,2019.04.29 19:21:07,Autodock 4.2
ZINC00257364_19372,promutation,-7.46,-0.62,2019.04.29 19:21:12,Autodock 4.2
ZINC00270552_20126,promutation,-7.94,-0.57,2019.04.29 19:21:18,Autodock 4.2
