Ligand,Target,Binding Energy,Unbound Energy,Date Created,Info
ZINC00001712_15862,promutation,-5.96,-0.06,2019.04.29 16:49:19,Autodock 4.2
ZINC00054290_16662,promutation,-6.32,-0.95,2019.04.29 16:49:23,Autodock 4.2
ZINC00054291_16671,promutation,-7.1,-0.41,2019.04.29 16:49:28,Autodock 4.2
ZINC00058051_17126,promutation,-8.02,-0.27,2019.04.29 16:52:58,Autodock 4.2
ZINC00077278_17216,promutation,-6.3,-0.03,2019.04.29 16:54:20,Autodock 4.2
ZINC00077293_17173,promutation,-6.38,-0.3,2019.04.29 16:54:24,Autodock 4.2
ZINC00077305_17158,promutation,-7.16,-0.35,2019.04.29 16:54:38,Autodock 4.2
ZINC00077320_17129,promutation,-7.39,-0.23,2019.04.29 16:54:42,Autodock 4.2
ZINC00077324_17113,promutation,-7.31,0.48,2019.04.29 17:12:45,Autodock 4.2
ZINC00077337_17059,promutation,-7.48,-0.41,2019.04.29 17:12:53,Autodock 4.2
ZINC00077360_17025,promutation,-6.83,-0.09,2019.04.29 18:31:05,Autodock 4.2
ZINC00077987_15583,promutation,-6.46,-0.3,2019.04.29 18:31:11,Autodock 4.2
ZINC00077999_15569,promutation,-6.93,-0.13,2019.04.29 18:31:16,Autodock 4.2
ZINC00078007_15545,promutation,-6.88,-0.68,2019.04.29 18:31:24,Autodock 4.2
ZINC00088527_17105,promutation,-7.86,0.0,2019.04.29 18:31:30,Autodock 4.2
ZINC00089632_16545,promutation,-8.18,-0.05,2019.04.29 18:31:40,Autodock 4.2
ZINC00089816_16228,promutation,-6.4,0.04,2019.04.29 18:31:53,Autodock 4.2
ZINC00091097_17259,promutation,-7.34,-0.37,2019.04.29 18:31:57,Autodock 4.2
ZINC00091118_17146,promutation,-7.0,-0.13,2019.04.29 18:32:01,Autodock 4.2
ZINC00091305_16458,promutation,-7.23,-0.1,2019.04.29 18:32:05,Autodock 4.2
ZINC00091306_16433,promutation,-7.52,-0.09,2019.04.29 18:32:09,Autodock 4.2
ZINC00091482_16084,promutation,-6.66,-0.32,2019.04.29 18:32:14,Autodock 4.2
ZINC00091488_16041,promutation,-6.29,-0.73,2019.04.29 18:32:17,Autodock 4.2
ZINC00117754_16445,promutation,-6.83,-0.44,2019.04.29 18:32:22,Autodock 4.2
ZINC00117756_16392,promutation,-7.23,-0.42,2019.04.29 18:32:26,Autodock 4.2
