Ligand,Target,Binding Energy,Unbound Energy,Date Created,Info
ZINC00034164_7626,promutation,-6.62,-1.58,2019.04.28 21:52:59,Autodock 4.2
ZINC00044644_8270,promutation,-7.78,-0.14,2019.04.28 21:53:07,Autodock 4.2
ZINC00048205_6993,promutation,-5.33,0.36,2019.04.28 21:53:11,Autodock 4.2
ZINC00052257_7856,promutation,-7.76,-0.37,2019.04.28 21:53:16,Autodock 4.2
ZINC00054918_8434,promutation,-7.67,-0.22,2019.04.28 21:53:20,Autodock 4.2
ZINC00056758_7224,promutation,-6.0,-0.9,2019.04.28 21:53:25,Autodock 4.2
ZINC00058276_7292,promutation,-6.64,-0.01,2019.04.28 21:53:29,Autodock 4.2
ZINC00088649_8060,promutation,-7.93,-0.39,2019.04.28 21:53:33,Autodock 4.2
ZINC00082856_7099,promutation,-6.67,-0.4,2019.04.28 21:53:41,Autodock 4.2
ZINC00094763_7955,promutation,-6.86,0.0,2019.04.28 21:53:45,Autodock 4.2
ZINC00094845_8315,promutation,-5.91,-0.34,2019.04.28 21:53:50,Autodock 4.2
ZINC00095380_7815,promutation,-8.0,-0.06,2019.04.28 21:53:54,Autodock 4.2
ZINC00101451_7393,promutation,-6.97,-0.38,2019.04.28 21:53:58,Autodock 4.2
ZINC00104279_7907,promutation,-6.55,-0.65,2019.04.28 21:54:02,Autodock 4.2
ZINC00104282_7963,promutation,-6.41,-0.58,2019.04.28 21:54:05,Autodock 4.2
ZINC00105828_8232,promutation,-5.65,-0.24,2019.04.28 21:54:10,Autodock 4.2
ZINC00108181_8436,promutation,-6.46,-0.19,2019.04.28 21:54:16,Autodock 4.2
ZINC00170341_7615,promutation,-7.27,-0.27,2019.04.28 21:54:20,Autodock 4.2
ZINC00170342_7594,promutation,-7.44,-0.44,2019.04.28 21:54:24,Autodock 4.2
ZINC00171915_6991,promutation,-5.93,-0.77,2019.04.28 21:54:29,Autodock 4.2
ZINC00174695_7200,promutation,-8.84,-0.72,2019.04.28 21:54:34,Autodock 4.2
ZINC00181783_7127,promutation,-6.88,-0.59,2019.04.28 21:54:38,Autodock 4.2
ZINC00181785_7117,promutation,-6.93,-0.48,2019.04.28 21:54:43,Autodock 4.2
ZINC00183449_8379,promutation,-7.47,-0.21,2019.04.28 21:54:51,Autodock 4.2
ZINC00185689_8219,promutation,-6.8,-0.38,2019.04.28 21:54:55,Autodock 4.2
ZINC00185722_8127,promutation,-6.61,-0.11,2019.04.28 21:55:04,Autodock 4.2
ZINC00185944_7539,promutation,-6.57,-0.51,2019.04.28 21:55:08,Autodock 4.2
